Genre,programCode,programName,textColor,backgroundColor2
HIP HOP,BSWi,BSWi HIPHOP 1,"color: rgb(255, 255, 102)"," background-color: rgb(153, 0, 153)"
HIP HOP,BSB,BSB HIPHOP 1,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
HIP HOP,BSB,BSB HIPHOP 2,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
HOUSE,BB1,BB1 HOUSE 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
HOUSE,BB1,BB1 HOUSE 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
HOUSE,BB1,BB1 HOUSE 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
HOUSE,BB1,BB1 HOUSE 4,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
EDM,BB2,BB2 EDM,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
HOUSE,BB2,BB2 HOUSE 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
HOUSE,BB2,BB2 HOUSE 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
HOUSE,BB2,BB2 HOUSE 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
HOUSE,BB2,BB2 HOUSE 4,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
HOUSE,BB2,BB2 HOUSE 5,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
HOUSE,BB2,BB2 HOUSE 6,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
HOUSE,BB2,BB2 HOUSE 7,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
HOUSE,BB3,BB3 HOUSE 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
HOUSE,BB3,BB3 HOUSE 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
HOUSE,BB3,BB3 HOUSE 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
HOUSE,BB3,BB3 HOUSE 4,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
HOUSE,BSW,BSW HOUSE 1,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
HOUSE,BSW,BSW HOUSE 2,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
HOUSE,BSW,BSW HOUSE 3,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
HOUSE,BSWi,BSWi HOUSE 1,"color: rgb(255, 255, 102)"," background-color: rgb(153, 0, 153)"
HOUSE,BSWi,BSWi HOUSE 2,"color: rgb(255, 255, 102)"," background-color: rgb(153, 0, 153)"
HOUSE,BSWi,BSWi HOUSE 3,"color: rgb(255, 255, 102)"," background-color: rgb(153, 0, 153)"
HOUSE,BSL,BSL HOUSE 1,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 204)"
HOUSE,BSL,BSL HOUSE 2,"color: rgb(255, 255, 255)"," background-color: rgb(0, 0, 204)"
HOUSE,BSB,BSB HOUSE 1,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
HOUSE,BSBi,BSBi HOUSE 1,"color: rgb(255, 255, 102)"," background-color: rgb(51, 102, 153)"
HOUSE,BSBi,BSBi HOUSE 2,"color: rgb(255, 255, 102)"," background-color: rgb(51, 102, 153)"
JAZZ,BB2,BB2 JAZZ 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
JAZZ,BSW,BSW JAZZ 1,"color: rgb(255, 255, 255)"," background-color: rgb(204, 102, 255)"
JAZZ,BSB,BSB JAZZ 1,"color: rgb(0, 0, 0)"," background-color: rgb(0, 204, 255)"
REGGAE,BB2,BB2 REGGAE 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
REGGAE,BB2,BB2 REGGAE 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
REGGAE,BB3,BB3 REGGAE 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 51, 0)"
