Genre,programCode,programName,textColor,backgroundColor2
MOVIE,BB2,BB2 MOVIE 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
MOVIE,BB2,BB2 MOVIE 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
SEASON,BB2,BB2 SUMMER 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
SEASON,BB2,BB2 SUMMER 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
SEASON,BB2,BB2 X'MAS 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
SEASON,BB2,BB2 X'MAS 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
SEASON,BB2,BB2 X'MAS 3,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
SEASON,BB2,BB2 X'MAS 4,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
NOW,BB2,BB2 NOW 2,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,SKRILLEX ,SKRILLEX,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 255)"
NOW,BB1,BB1 NOW 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 255, 102)"
NOW,BB2,BB2 NOW 1,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
ARTIST,BB2,BB2 QOP,"color: rgb(0, 0, 0)"," background-color: rgb(255, 153, 51)"
